pos,flw,flg,bl,pic,lin,cl,cz,ni,erl,erc,lt,hc,pr,fo,cs,pi,class
445,813,1200,126,1,0,1,0.8888888955,0.1669999957,0.7699999809,0.0799999982,0.0560000017,0.0,0.0,0.0,0.7843139768,454.13015747,f
296,1400,1400,62,1,0,86,0.0,0.4440000057,9.8900003433,1.0499999523,0.8889999986,1.0,0.0,0.0560000017,0.0172160007,439.82110596,r
3,29,167,0,1,0,15,0.3333333433,0.6669999957,36.779998779,5.75,0.0,0.0,0.0,0.0,0.0,35.265647888,f
210,1300,4800,0,1,0,1,0.944444418,0.1110000014,1.5,0.0099999998,0.1110000014,0.0,0.0,0.0,0.8888890147,108.94759369,f
48,291,163,30,1,0,38,0.1666666716,0.6110000014,33.069999695,2.7100000381,0.6110000014,1.5559999943,0.0,0.0560000017,0.0345630012,200.70288086,r
15,240,7200,0,1,0,17,0.4666666687,0.400000006,29.38999939,2.1900000572,0.0670000017,0.0,0.0,0.0,0.2093510032,125.13931274,f
10,77,141,144,1,0,49,0.3000000119,0.0,18.569999695,0.6499999762,0.3000000119,0.0,0.0,0.0,0.1475269943,66.635391235,r
40,1600,2100,103,1,0,60,0.3888888955,0.4440000057,6.4299998283,0.1299999952,0.7220000029,2.7219998837,0.0,0.0560000017,0.1791969985,252.18119812,f
80,2200,2300,113,1,1,52,0.277777791,0.7220000029,3.7699999809,0.1800000072,0.5,0.1110000014,0.0,0.0,0.1366129965,26.182006836,r
22,367,3900,0,1,0,0,1.0,0.0,13.899999619,0.5899999738,0.0,0.0,0.0,0.0,1.0,30.795246124,r
226,8600,6300,171,1,1,634,0.1111111119,0.1110000014,0.0799999982,0.0099999998,0.0,1.6670000553,0.0,0.0,0.2037779987,16.044721603,r
287,313,1400,52,1,0,13,0.555555582,0.0560000017,18.739999771,0.4799999893,0.0560000017,0.1669999957,0.0,0.0,0.2973339856,7.9310488701,r
6,907,2200,0,1,0,9,0.3333333433,0.3330000043,9.4300003052,0.6100000143,0.1669999957,0.0,0.0,0.0,0.066666998,5606.6220703,f
112,863,756,84,1,0,268,0.055555556,0.5,27.399999619,1.1900000572,0.5559999943,2.5,0.0,0.0560000017,0.0151770003,843.894104,r
24,179,421,16,1,0,1,0.8888888955,0.5559999943,5.7699999809,0.4699999988,0.1669999957,0.0,0.0,0.0,0.7843139768,983.88476562,f
80,1100,555,93,1,1,55,0.055555556,0.0560000017,14.539999962,0.2399999946,1.0,1.5,0.0,0.0560000017,0.0284150001,1398.7130127,r
59,10300,7500,79,1,1,25,0.1111111119,0.1110000014,1.0700000525,0.0399999991,0.5,0.6669999957,0.0,0.0,0.0245159995,391.26074219,f
162,174,553,85,1,0,29,0.0,0.1110000014,3.8599998951,0.3199999928,0.0,0.2779999971,0.0,0.0,0.008037,257.60671997,f
21,356,1500,0,1,0,13,0.555555582,0.2779999971,2.8399999142,0.0299999993,0.1110000014,0.0,0.0,0.0,0.2980389893,721.26495361,f
61,776,647,75,1,1,40,0.0,0.0560000017,15.720000267,0.6399999857,0.7220000029,0.1669999957,0.0,0.0,0.0066849999,918.41638184,r
