,count,mean,std,min,25%,50%,75%,max
pos,65326.0,176.571,723.471,0.0,6.0,30.0,124.0,76200.0
flw,65326.0,1183.077,21708.021,0.0,123.0,338.0,817.0,3900000.0
flg,65326.0,2310.519,2592.096,0.0,394.0,995.0,3600.0,8800.0
bl,65326.0,57.497,64.129,0.0,0.0,32.0,110.0,555.0
pic,65326.0,0.952,0.214,0.0,1.0,1.0,1.0,1.0
lin,65326.0,0.282,0.45,0.0,0.0,0.0,1.0,1.0
cl,65326.0,136.52,215.714,-1.0,8.0,46.0,170.0,3644.0
cz,65326.0,0.25,0.338,0.0,0.0,0.056,0.444,1.0
ni,65326.0,0.193,0.253,0.0,0.0,0.059,0.333,1.0
erl,65326.0,19.147,121.048,0.0,2.73,9.45,18.68,26650.0
erc,65326.0,1.139,5.811,0.0,0.08,0.44,1.04,1009.09
lt,65326.0,0.209,0.3,0.0,0.0,0.0,0.333,1.0
hc,65326.0,0.508,1.157,0.0,0.0,0.077,0.611,30.0
pr,65326.0,0.033,0.221,0.0,0.0,0.0,0.0,20.0
fo,65326.0,0.053,0.519,0.0,0.0,0.0,0.0,58.0
cs,65326.0,0.299,0.35,0.0,0.033,0.137,0.456,1.0
pi,65326.0,496.475,944.905,0.0,24.571,183.228,580.772,26786.135
