pos,flw,flg,bl,pic,lin,cl,cz,ni,erl,erc,lt,hc,pr,fo,cs,pi,prob_gradient_boosting,clase_gradient_boosting,prob_random_forest,clase_random_forest,prob_arbol_decision,clase_arbol_decision,prob_regresion_logistica,clase_regresion_logistica,prob_red_neuronal_mlp,clase_red_neuronal_mlp,votos_falsa,veredicto,etiqueta_real
445.0,813.0,1200.0,126.0,1.0,0.0,1.0,0.8888888955,0.1669999957,0.7699999809,0.0799999982,0.0560000017,0.0,0.0,0.0,0.7843139768,454.13015747,0.9936,FALSA,1.0,FALSA,1.0,FALSA,0.7616,FALSA,1.0,FALSA,5,FALSA,FALSA
296.0,1400.0,1400.0,62.0,1.0,0.0,86.0,0.0,0.4440000057,9.8900003433,1.0499999523,0.8889999986,1.0,0.0,0.0560000017,0.0172160007,439.82110596,0.0251,AUTENTICA,0.01,AUTENTICA,0.0292,AUTENTICA,0.0971,AUTENTICA,0.0072,AUTENTICA,0,AUTENTICA,AUTENTICA
3.0,29.0,167.0,0.0,1.0,0.0,15.0,0.3333333433,0.6669999957,36.779998779,5.75,0.0,0.0,0.0,0.0,0.0,35.265647888,0.3909,AUTENTICA,0.4167,AUTENTICA,0.319,AUTENTICA,0.271,AUTENTICA,0.3716,AUTENTICA,0,AUTENTICA,FALSA
210.0,1300.0,4800.0,0.0,1.0,0.0,1.0,0.944444418,0.1110000014,1.5,0.0099999998,0.1110000014,0.0,0.0,0.0,0.8888890147,108.94759369,0.9955,FALSA,1.0,FALSA,1.0,FALSA,0.956,FALSA,1.0,FALSA,5,FALSA,FALSA
48.0,291.0,163.0,30.0,1.0,0.0,38.0,0.1666666716,0.6110000014,33.069999695,2.7100000381,0.6110000014,1.5559999943,0.0,0.0560000017,0.0345630012,200.70288086,0.0181,AUTENTICA,0.0233,AUTENTICA,0.0083,AUTENTICA,0.0137,AUTENTICA,0.0037,AUTENTICA,0,AUTENTICA,AUTENTICA
15.0,240.0,7200.0,0.0,1.0,0.0,17.0,0.4666666687,0.400000006,29.38999939,2.1900000572,0.0670000017,0.0,0.0,0.0,0.2093510032,125.13931274,0.9633,FALSA,1.0,FALSA,0.9886,FALSA,0.9063,FALSA,0.9539,FALSA,5,FALSA,FALSA
10.0,77.0,141.0,144.0,1.0,0.0,49.0,0.3000000119,0.0,18.569999695,0.6499999762,0.3000000119,0.0,0.0,0.0,0.1475269943,66.635391235,0.1037,AUTENTICA,0.1033,AUTENTICA,0.0655,AUTENTICA,0.2699,AUTENTICA,0.0944,AUTENTICA,0,AUTENTICA,AUTENTICA
40.0,1600.0,2100.0,103.0,1.0,0.0,60.0,0.3888888955,0.4440000057,6.4299998283,0.1299999952,0.7220000029,2.7219998837,0.0,0.0560000017,0.1791969985,252.18119812,0.9757,FALSA,1.0,FALSA,1.0,FALSA,0.4325,AUTENTICA,1.0,FALSA,4,FALSA,FALSA
80.0,2200.0,2300.0,113.0,1.0,1.0,52.0,0.277777791,0.7220000029,3.7699999809,0.1800000072,0.5,0.1110000014,0.0,0.0,0.1366129965,26.182006836,0.2019,AUTENTICA,0.1233,AUTENTICA,0.0667,AUTENTICA,0.103,AUTENTICA,0.1437,AUTENTICA,0,AUTENTICA,AUTENTICA
22.0,367.0,3900.0,0.0,1.0,0.0,0.0,1.0,0.0,13.899999619,0.5899999738,0.0,0.0,0.0,0.0,1.0,30.795246124,0.6232,FALSA,0.7267,FALSA,0.6,FALSA,0.9245,FALSA,0.5897,FALSA,5,FALSA,AUTENTICA
